Dataset,Horizon,Model,MSE,MAE,Source,MSE_Rank,MAE_Rank,BestExistingModel,BestExistingMSE,BestExistingMAE,DeltaVsBestExisting_MSE,DeltaVsBestExisting_MAE
Illness,24,PatchFusionBERT_v0,1.9868,0.8904,results_23-01.md,1.0,1.0,PatchFusionBERT_v0,1.9868,0.8904,0.0,0.0
Illness,24,DLinear,2.1742,1.0148,results_23-01.md,2.0,4.0,PatchFusionBERT_v0,1.9868,0.8904,0.1874,0.12439999999999996
Illness,24,iTransformer,2.2531,1.0106,results_23-01.md,3.0,3.0,PatchFusionBERT_v0,1.9868,0.8904,0.2663,0.12019999999999997
Illness,24,PAttn,2.2537930011749268,1.017825722694397,result_long_term_forecast.txt,4.0,5.0,PatchFusionBERT_v0,1.9868,0.8904,0.26699300117492686,0.127425722694397
Illness,24,PatchFusionBERT_v2,2.2976,1.0194,results_23-01.md,5.0,6.0,PatchFusionBERT_v0,1.9868,0.8904,0.3108000000000002,0.12900000000000011
Illness,24,TimeXer,2.2997,0.9924,results_23-01.md,6.0,2.0,PatchFusionBERT_v0,1.9868,0.8904,0.3129000000000002,0.10199999999999998
Illness,24,PatchTST,2.3322,1.0366,results_23-01.md,7.0,7.0,PatchFusionBERT_v0,1.9868,0.8904,0.34539999999999993,0.1462
Illness,24,WPMixer,2.385226249694824,1.0589250326156616,result_long_term_forecast.txt,8.0,8.0,PatchFusionBERT_v0,1.9868,0.8904,0.3984262496948243,0.16852503261566165
Illness,24,TiDE,3.2519,1.2711,results_23-01.md,9.0,10.0,PatchFusionBERT_v0,1.9868,0.8904,1.2651000000000001,0.3806999999999999
Illness,24,PatchFusionBERT_BERTOnly,3.6351,1.2598,results_23-01.md,10.0,9.0,PatchFusionBERT_v0,1.9868,0.8904,1.6483,0.36940000000000006
Illness,48,PatchFusionBERT_v0,1.8855,0.8946,results_23-01.md,1.0,2.0,PatchFusionBERT_v0,1.8855,0.8946,0.0,0.0
Illness,48,PatchTST,1.9039,0.8919,results_23-01.md,2.0,1.0,PatchFusionBERT_v0,1.8855,0.8946,0.018399999999999972,-0.0026999999999999247
Illness,48,PAttn,1.932939887046814,0.912339985370636,result_long_term_forecast.txt,3.0,3.0,PatchFusionBERT_v0,1.8855,0.8946,0.04743988704681401,0.017739985370636036
Illness,48,PatchFusionBERT_v2,2.0007,0.9253,results_23-01.md,4.0,4.0,PatchFusionBERT_v0,1.8855,0.8946,0.11520000000000019,0.03070000000000006
Illness,48,TimeXer,2.1596,0.9592,results_23-01.md,5.0,5.0,PatchFusionBERT_v0,1.8855,0.8946,0.27410000000000023,0.0646000000000001
Illness,48,iTransformer,2.2221,1.0152,results_23-01.md,6.0,6.0,PatchFusionBERT_v0,1.8855,0.8946,0.33660000000000023,0.12060000000000015
