Dataset,Horizon,Model,Corruption,Missing_Rate,Block_Size,Checkpoint_Folder,Seq_Len,Label_Len,D_Model,E_Layers,Batch_Size,MSE,MAE,RMSE,MAPE,MSPE
Weather,96,DLinear,random,0.1,24,long_term_forecast_DLinear_Weather_H96_seed2021_DLinear_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.1845005452632904,0.2567737102508545,0.42953526973724365,9.981951713562012,10307347.0
Weather,96,DLinear,random,0.2,24,long_term_forecast_DLinear_Weather_H96_seed2021_DLinear_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.20270654559135437,0.28606557846069336,0.4502294361591339,8.999783515930176,8352888.0
Weather,96,DLinear,random,0.3,24,long_term_forecast_DLinear_Weather_H96_seed2021_DLinear_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.22888298332691193,0.3198913335800171,0.47841715812683105,8.039793014526367,6597580.5
Weather,96,DLinear,block,0.1,24,long_term_forecast_DLinear_Weather_H96_seed2021_DLinear_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.18375803530216217,0.2493043690919876,0.42867007851600647,10.709315299987793,12136576.0
Weather,96,DLinear,block,0.2,24,long_term_forecast_DLinear_Weather_H96_seed2021_DLinear_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.19313400983810425,0.2629597783088684,0.4394701421260834,10.249773979187012,11483783.0
Weather,96,DLinear,block,0.3,24,long_term_forecast_DLinear_Weather_H96_seed2021_DLinear_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.2115941047668457,0.28690043091773987,0.4599936008453369,9.342058181762695,9700114.0
Weather,96,PatchTST,clean,0.0,24,long_term_forecast_PatchTST_Weather_H96_seed2021_PatchTST_custom_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.15260770916938782,0.20186977088451385,0.39065036177635193,12.218732833862305,18278134.0
Weather,96,PatchTST,random,0.1,24,long_term_forecast_PatchTST_Weather_H96_seed2021_PatchTST_custom_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.1697857677936554,0.23213332891464233,0.41205069422721863,11.921664237976074,15767107.0
Weather,96,PatchTST,random,0.2,24,long_term_forecast_PatchTST_Weather_H96_seed2021_PatchTST_custom_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.19013577699661255,0.26360636949539185,0.4360456168651581,10.962658882141113,12142062.0
Weather,96,PatchTST,random,0.3,24,long_term_forecast_PatchTST_Weather_H96_seed2021_PatchTST_custom_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.2181612104177475,0.2995980679988861,0.4670773148536682,9.470290184020996,8723995.0
Weather,96,PatchTST,block,0.1,24,long_term_forecast_PatchTST_Weather_H96_seed2021_PatchTST_custom_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.15919072926044464,0.21589717268943787,0.3989871144294739,12.020380020141602,17192522.0
